id,address,city,state,price,bedrooms,bathrooms,sqft,year_built,lat,lng,description,condition
442,3222 Rose Street,Charlotte,NC,744000.0,3,1.5,3149,2000,35.2879,-80.9016,Modern home with open floor plan,Good
443,2971 Dogwood Place,Raleigh,NC,758138,4,2.5,2477,2018,35.8151,-78.59,Beautiful family home in a quiet neighborhood,Good
444,4942 Cypress Street,Denver,CO,865142,5,2,1472,1994,39.7347,-105.0609,Charming home with great curb appeal,Good
445,8597 Fir Way,Chicago,IL,586870,3,2.5,3180,1987,41.9495,-87.6831,Classic style home with modern amenities,Good
446,1876 Birch Way,Tucson,AZ,323075,4,2,1457,2008,32.2673,-111.0107,Energy-efficient home with low utility costs,Good
447,2927 Rose Boulevard,Philadelphia,PA,622028,3,3.5,2047,2005,39.9133,-75.2173,Bright and airy home with lots of natural light,Good
448,8889 Lily Lane,New Orleans,LA,660000.0,3,3.5,1652,1988,29.9534,-89.9924,Bright and airy home with lots of natural light,Excellent
449,4785 Main Circle,Nashville,TN,900000.0,3,3,2432,1990,36.1654,-86.7577,Spacious property with large backyard,Excellent
450,5001 Sunflower Street,Sacramento,CA,900000.0,4,3.5,2443,2005,38.6345,-121.4314,Updated kitchen and bathrooms,Good
451,5257 Sycamore Street,San Jose,CA,1902478,3,2,2282,1999,37.2626,-121.8782,Spacious property with large backyard,Good
452,9397 Lily Court,Las Vegas,NV,525006,3,2.5,1724,2005,36.1955,-115.0964,Energy-efficient home with low utility costs,Fair
453,6655 Hickory Avenue,Philadelphia,PA,543799,3,3,1986,2011,40.0216,-75.2411,Modern home with open floor plan,Fair
454,388 Elm Drive,San Diego,CA,951458,3,2,1595,2023,32.7565,-117.1771,Well-maintained home close to schools,Good
455,4628 Daisy Court,San Diego,CA,1546170,4,3,2939,1998,32.6652,-117.1456,Classic style home with modern amenities,Good
456,2196 Olive Street,Portland,OR,1080000.0,5,3.5,1756,1994,45.53,-122.6235,Bright and airy home with lots of natural light,Good
457,8026 Chestnut Court,Fresno,CA,696000.0,4,3.5,2730,2017,36.7062,-119.8623,Well-maintained home close to schools,Fair
458,5236 Alder Street,Memphis,TN,456000.0,3,2,3121,2008,35.1558,-90.0786,Charming home with great curb appeal,Excellent
459,2878 Hickory Road,Charlotte,NC,691627,5,1.5,2206,2020,35.1963,-80.7803,Peaceful setting with mature trees,Good
460,2404 Cypress Drive,Philadelphia,PA,479333,3,1.5,1646,2018,39.9603,-75.2291,Family-friendly neighborhood property,Good
461,9139 Pine Avenue,Sacramento,CA,743647,3,3.5,1504,1991,38.5915,-121.5096,Peaceful setting with mature trees,Good
462,922 Beech Drive,Oakland,CA,1218265,3,3,2334,1989,37.7606,-122.3163,Well-maintained home close to schools,Excellent
463,3694 Sycamore Place,Virginia Beach,VA,720000.0,3,3,2626,2001,36.8222,-75.9393,Beautiful family home in a quiet neighborhood,Good
464,6614 Sunflower Drive,San Francisco,CA,2019756,3,2,2610,2001,37.7412,-122.3423,Modern home with open floor plan,Good
465,3575 Spruce Circle,Tucson,AZ,435280,2,3,1808,1997,32.2679,-111.0216,Beautiful family home in a quiet neighborhood,Good
466,7939 Daisy Street,San Francisco,CA,2598601,3,3.5,1674,2019,37.7507,-122.3461,Convenient location near shopping and parks,Good
467,6723 Sunflower Circle,San Francisco,CA,2640000.0,2,2,3200,2009,37.8133,-122.4519,Move-in ready home with recent upgrades,Fair
468,4796 Oak Drive,New York,NY,1135403,3,2.5,1177,1997,40.7579,-74.0589,Classic style home with modern amenities,Good
469,4514 Walnut Avenue,San Antonio,TX,312979,3,2,1259,1999,29.3543,-98.5694,Comfortable single-family residence,Excellent
470,4980 Alder Way,Omaha,NE,357504,3,1.5,3106,2000,41.3204,-95.8818,Bright and airy home with lots of natural light,Good
471,561 Sunflower Street,Boston,MA,1400140,5,3,2394,2011,42.3581,-71.1321,Well-maintained home close to schools,Good
472,2786 Magnolia Drive,Kansas City,MO,384291,3,3,2415,2000,39.0933,-94.602,Ideal starter home or investment property,Good
473,7796 Beech Avenue,Oakland,CA,1222502,3,3,1485,1988,37.8195,-122.3188,Spacious property with large backyard,Excellent
474,6500 Birch Place,Tulsa,OK,367433,4,2,1266,1997,36.1879,-96.0612,Classic style home with modern amenities,Good
475,9487 Palm Court,Kansas City,MO,504000.0,5,2,2011,2018,39.0947,-94.6302,Ideal starter home or investment property,Good
476,3351 Orchid Circle,Miami,FL,675207,4,2,1132,2014,25.8106,-80.2618,Convenient location near shopping and parks,Good
477,828 Sunflower Drive,Columbus,OH,428326,3,2.5,1133,2003,40.0199,-83.0569,Move-in ready home with recent upgrades,Excellent
478,2670 Daisy Boulevard,Fort Worth,TX,584362,5,1.5,2741,2006,32.7804,-97.3601,Comfortable single-family residence,Good
479,8269 Tulip Drive,Oakland,CA,1452968,4,2,1997,1998,37.7377,-122.343,Peaceful setting with mature trees,Good
480,3356 Alder Way,Indianapolis,IN,447985,4,2,3064,2011,39.7914,-86.2044,Beautiful family home in a quiet neighborhood,Excellent
481,2086 Hemlock Road,Portland,OR,659515,4,1.5,1839,2007,45.4391,-122.7196,Family-friendly neighborhood property,Good
482,4011 Birch Court,Albuquerque,NM,522420,5,3,2831,2018,35.0876,-106.6842,Move-in ready home with recent upgrades,Excellent
483,7212 Oak Court,Minneapolis,MN,470745,5,3,1209,1987,44.9736,-93.3155,Updated kitchen and bathrooms,Excellent
484,5773 Orchid Way,Indianapolis,IN,368273,3,2,1188,1994,39.7011,-86.1726,Classic style home with modern amenities,Excellent
485,9172 Spruce Lane,Denver,CO,712713,5,3.5,1357,1997,39.7805,-104.9421,Peaceful setting with mature trees,Good
486,283 Beech Drive,Detroit,MI,235249,3,1.5,2389,2013,42.3306,-83.1147,Peaceful setting with mature trees,Good
487,1211 Rose Road,Indianapolis,IN,450987,3,2,3081,1997,39.7861,-86.1994,Comfortable single-family residence,Good
488,2278 Chestnut Avenue,Wichita,KS,367441,2,2.5,2073,1987,37.6467,-97.322,Convenient location near shopping and parks,Good
489,860 Maple Drive,Oakland,CA,1560000.0,3,2.5,2706,2022,37.8171,-122.2921,Comfortable single-family residence,Good
490,9225 Rose Avenue,Minneapolis,MN,531413,2,3,2847,2014,44.908,-93.2701,Well-maintained home close to schools,Good
491,1980 Violet Circle,Miami,FL,626016,3,2,1456,2021,25.7972,-80.1954,Classic style home with modern amenities,Good
492,4398 Alder Place,Tucson,AZ,393309,4,2,1767,2022,32.1571,-110.942,Peaceful setting with mature trees,Good
493,7449 Lily Street,Detroit,MI,407391,2,3.5,2828,1993,42.2571,-82.9861,Family-friendly neighborhood property,Good
494,9048 Lily Street,Milwaukee,WI,540000.0,3,2.5,2424,2012,43.1102,-87.9687,Updated kitchen and bathrooms,Good
495,7220 Oak Lane,Jacksonville,FL,624000.0,3,2,3097,1988,30.3995,-81.664,Energy-efficient home with low utility costs,Good
496,9041 Daisy Boulevard,Tucson,AZ,552026,3,3,2972,2011,32.1824,-110.9298,Move-in ready home with recent upgrades,Good
497,295 Violet Street,Oklahoma City,OK,480000.0,4,3.5,2090,1987,35.4996,-97.5946,Ideal starter home or investment property,Excellent
498,3856 Maple Boulevard,Mesa,AZ,450350,2,3.5,1885,2009,33.4778,-111.7769,Convenient location near shopping and parks,Excellent
499,4448 Holly Road,El Paso,TX,352847,3,2.5,1122,2005,31.741,-106.5365,Charming home with great curb appeal,Good
500,2680 Dogwood Road,San Diego,CA,1196142,4,2.5,1997,2020,32.7892,-117.1899,Ideal starter home or investment property,Fair
